product_id;product_name;brand_id;category_id;model_year;list_price
1;Trek 820 - 2021;9;6;2021;380
2;Ritchey Timberwolf Frameset - 2021;5;6;2021;750
3;Surly Wednesday Frameset - 2021;8;6;2021;1000
4;Trek Fuel EX 8 29 - 2021;9;6;2021;2900
5;Heller Shagamaw Frame - 2021;3;6;2021;1321
6;Surly Ice Cream Truck Frameset - 2021;8;6;2021;470
7;Trek Slash 8 27.5 - 2021;9;6;2021;4000
8;Trek Remedy 29 Carbon Frameset - 2021;9;6;2021;1800
9;Trek Conduit+ - 2021;9;5;2021;3000
10;Surly Straggler - 2021;8;4;2021;1549
11;Surly Straggler 650b - 2021;8;4;2021;1681
12;Electra Townie Original 21D - 2021;1;3;2021;550
13;Electra Cruiser 1 (24-Inch) - 2021;1;3;2021;270
14;Electra Girl's Hawaii 1 (16-inch) - 2020/2021;1;3;2021;270
15;Electra Moto 1 - 2021;1;3;2021;530
16;Electra Townie Original 7D EQ - 2021;1;3;2021;600
17;Pure Cycles Vine 8-Speed - 2021;4;3;2021;429
18;Pure Cycles Western 3-Speed - Women's - 2020/2021;4;3;2021;449
19;Pure Cycles William 3-Speed - 2021;4;3;2021;449
20;Electra Townie Original 7D EQ - Women's - 2021;1;3;2021;600
21;Electra Cruiser 1 (24-Inch) - 2021;1;1;2021;270
22;Electra Girl's Hawaii 1 (16-inch) - 2020/2021;1;1;2021;270
23;Electra Girl's Hawaii 1 (20-inch) - 2020/2021;1;1;2021;300
24;Electra Townie Original 21D - 2021;1;2;2021;550
25;Electra Townie Original 7D - 2020/2021;1;2;2021;500
26;Electra Townie Original 7D EQ - 2021;1;2;2021;600
27;Surly Big Dummy Frameset - 2022;8;6;2022;1000
28;Surly Karate Monkey 27.5+ Frameset - 2022;8;6;2022;2500
29;Trek X-Caliber 8 - 2022;9;6;2022;1000
30;Surly Ice Cream Truck Frameset - 2022;8;6;2022;1000
31;Surly Wednesday - 2022;8;6;2022;1633
32;Trek Farley Alloy Frameset - 2022;9;6;2022;470
33;Surly Wednesday Frameset - 2022;8;6;2022;470
34;Trek Session DH 27.5 Carbon Frameset - 2022;9;6;2022;470
35;Sun Bicycles Spider 3i - 2022;7;6;2022;833
36;Surly Troll Frameset - 2022;8;6;2022;833
37;Haro Flightline One ST - 2022;2;6;2022;380
38;Haro Flightline Two 26 Plus - 2022;2;6;2022;550
39;Trek Stache 5 - 2022;9;6;2022;1500
40;Trek Fuel EX 9.8 29 - 2022;9;6;2022;5000
41;Haro Shift R3 - 2022;2;6;2022;1470
42;Trek Fuel EX 5 27.5 Plus - 2022;9;6;2022;2300
43;Trek Fuel EX 9.8 27.5 Plus - 2022;9;6;2022;5300
44;Haro SR 1.1 - 2022;2;6;2022;540
45;Haro SR 1.2 - 2022;2;6;2022;870
46;Haro SR 1.3 - 2022;2;6;2022;1410
47;Trek Remedy 9.8 - 2022;9;6;2022;5300
48;Trek Emonda S 4 - 2022;9;7;2022;1500
49;Trek Domane SL 6 - 2022;9;7;2022;3500
50;Trek Silque SLR 7 Women's - 2022;9;7;2022;6000
51;Trek Silque SLR 8 Women's - 2022;9;7;2022;6500
52;Surly Steamroller - 2022;8;7;2022;876
53;Surly Ogre Frameset - 2022;8;7;2022;750
54;Trek Domane SL Disc Frameset - 2022;9;7;2022;3200
55;Trek Domane S 6 - 2022;9;7;2022;2700
56;Trek Domane SLR 6 Disc - 2022;9;7;2022;5500
57;Trek Emonda S 5 - 2022;9;7;2022;2000
58;Trek Madone 9.2 - 2022;9;7;2022;5000
59;Trek Domane S 5 Disc - 2022;9;7;2022;2600
60;Sun Bicycles ElectroLite - 2022;7;5;2022;1560
61;Trek Powerfly 8 FS Plus - 2022;9;5;2022;5000
62;Trek Boone 7 - 2022;9;4;2022;3500
63;Trek Boone Race Shop Limited - 2022;9;4;2022;3500
64;Electra Townie Original 7D - 2022;1;3;2022;490
65;Sun Bicycles Lil Bolt Type-R - 2022;7;3;2022;347
66;Sun Bicycles Revolutions 24 - 2022;7;3;2022;251
67;Sun Bicycles Revolutions 24 - Girl's - 2022;7;3;2022;251
68;Sun Bicycles Cruz 3 - 2022;7;3;2022;450
69;Sun Bicycles Cruz 7 - 2022;7;3;2022;417
70;Electra Amsterdam Original 3i - 2020/2022;1;3;2022;660
71;Sun Bicycles Atlas X-Type - 2022;7;3;2022;417
72;Sun Bicycles Biscayne Tandem 7 - 2022;7;3;2022;620
73;Sun Bicycles Brickell Tandem 7 - 2022;7;3;2022;750
74;Electra Cruiser Lux 1 - 2022;1;3;2022;440
75;Electra Cruiser Lux Fat Tire 1 Ladies - 2022;1;3;2022;600
76;"Electra Girl's Hawaii 1 16"" - 2022";1;3;2022;300
77;Electra Glam Punk 3i Ladies' - 2022;1;3;2022;800
78;Sun Bicycles Biscayne Tandem CB - 2022;7;3;2022;648
79;Sun Bicycles Boardwalk (24-inch Wheels) - 2022;7;3;2022;403
80;Sun Bicycles Brickell Tandem CB - 2022;7;3;2022;762
81;Electra Amsterdam Fashion 7i Ladies' - 2022;1;3;2022;1100
82;Electra Amsterdam Original 3i Ladies' - 2022;1;3;2022;660
83;Trek Boy's Kickster - 2020/2022;9;1;2022;150
84;Sun Bicycles Lil Kitt'n - 2022;7;1;2022;110
85;Haro Downtown 16 - 2022;2;1;2022;330
86;Trek Girl's Kickster - 2022;9;1;2022;150
87;Trek Precaliber 12 Boys - 2022;9;1;2022;190
88;Trek Precaliber 12 Girls - 2022;9;1;2022;190
89;Trek Precaliber 16 Boys - 2022;9;1;2022;210
90;Trek Precaliber 16 Girls - 2022;9;1;2022;210
91;Trek Precaliber 24 (21-Speed) - Girls - 2022;9;1;2022;350
92;Haro Shredder 20 - 2022;2;1;2022;210
93;Haro Shredder 20 Girls - 2022;2;1;2022;210
94;Haro Shredder Pro 20 - 2022;2;1;2022;250
95;"Electra Girl's Hawaii 1 16"" - 2022";1;1;2022;300
96;Electra Moto 3i (20-inch) - Boy's - 2022;1;1;2022;350
97;Electra Savannah 3i (20-inch) - Girl's - 2022;1;1;2022;350
98;Electra Straight 8 3i (20-inch) - Boy's - 2022;1;1;2022;490
99;Electra Sugar Skulls 1 (20-inch) - Girl's - 2022;1;1;2022;300
100;Electra Townie 3i EQ (20-inch) - Boys' - 2022;1;1;2022;490
101;Electra Townie 7D (20-inch) - Boys' - 2022;1;1;2022;340
102;Electra Townie Original 7D - 2022;1;2;2022;490
103;Sun Bicycles Streamway 3 - 2022;7;2;2022;552
104;Sun Bicycles Streamway - 2022;7;2;2022;482
105;Sun Bicycles Streamway 7 - 2022;7;2;2022;534
106;Sun Bicycles Cruz 3 - 2022;7;2;2022;450
107;Sun Bicycles Cruz 7 - 2022;7;2;2022;417
108;Sun Bicycles Cruz 3 - Women's - 2022;7;2;2022;450
109;Sun Bicycles Cruz 7 - Women's - 2022;7;2;2022;417
110;Sun Bicycles Drifter 7 - 2022;7;2;2022;471
111;Sun Bicycles Drifter 7 - Women's - 2022;7;2;2022;471
112;Trek 820 - 2023;9;6;2023;380
113;Trek Marlin 5 - 2023;9;6;2023;490
114;Trek Marlin 6 - 2023;9;6;2023;580
115;Trek Fuel EX 8 29 - 2023;9;6;2023;3200
116;Trek Marlin 7 - 2022/2023;9;6;2023;750
117;Trek Ticket S Frame - 2023;9;6;2023;1470
118;Trek X-Caliber 8 - 2023;9;6;2023;1000
119;Trek Kids' Neko - 2023;9;6;2023;470
120;Trek Fuel EX 7 29 - 2023;9;6;2023;2500
121;Surly Krampus Frameset - 2023;8;6;2023;2500
122;Surly Troll Frameset - 2023;8;6;2023;2500
123;Trek Farley Carbon Frameset - 2023;9;6;2023;1000
124;Surly Krampus - 2023;8;6;2023;1499
125;Trek Kids' Dual Sport - 2023;9;6;2023;470
126;Surly Big Fat Dummy Frameset - 2023;8;6;2023;470
127;Surly Pack Rat Frameset - 2023;8;6;2023;470
128;Surly ECR 27.5 - 2023;8;6;2023;1899
129;Trek X-Caliber 7 - 2023;9;6;2023;920
130;Trek Stache Carbon Frameset - 2023;9;6;2023;920
131;Heller Bloodhound Trail - 2023;3;6;2023;2599
132;Trek Procal AL Frameset - 2023;9;6;2023;1500
133;Trek Procaliber Frameset - 2023;9;6;2023;1500
134;Trek Remedy 27.5 C Frameset - 2023;9;6;2023;1500
135;Trek X-Caliber Frameset - 2023;9;6;2023;1500
136;Trek Procaliber 6 - 2023;9;6;2023;1800
137;Heller Shagamaw GX1 - 2023;3;6;2023;2599
138;Trek Fuel EX 5 Plus - 2023;9;6;2023;2250
139;Trek Remedy 7 27.5 - 2023;9;6;2023;3000
140;Trek Remedy 9.8 27.5 - 2023;9;6;2023;5000
141;Trek Stache 5 - 2023;9;6;2023;1600
142;Trek Fuel EX 8 29 XT - 2023;9;6;2023;3200
143;Trek Domane ALR 3 - 2023;9;7;2023;1100
144;Trek Domane ALR 4 Disc - 2023;9;7;2023;1550
145;Trek Domane ALR 5 Disc - 2023;9;7;2023;1800
146;Trek Domane SLR 6 - 2023;9;7;2023;5000
147;Trek Domane ALR 5 Gravel - 2023;9;7;2023;1800
148;Trek Domane SL 8 Disc - 2023;9;7;2023;5500
149;Trek Domane SLR 8 Disc - 2023;9;7;2023;7500
150;Trek Emonda SL 7 - 2023;9;7;2023;4500
151;Trek Domane ALR 4 Disc Women's - 2023;9;7;2023;1550
152;Trek Domane SL 5 Disc Women's - 2023;9;7;2023;2500
153;Trek Domane SL 7 Women's - 2023;9;7;2023;5000
154;Trek Domane SLR 6 Disc Women's - 2023;9;7;2023;5500
155;Trek Domane SLR 9 Disc - 2023;9;7;2023;12000
156;Trek Domane SL Frameset - 2023;9;7;2023;6500
157;Trek Domane SL Frameset Women's - 2023;9;7;2023;6500
158;Trek CrossRip 1 - 2023;9;7;2023;960
159;Trek Emonda ALR 6 - 2023;9;7;2023;2300
160;Trek Emonda SLR 6 - 2023;9;7;2023;4500
161;Surly ECR - 2023;8;7;2023;1899
162;Trek Emonda SL 6 Disc - 2023;9;7;2023;3000
163;Surly Pack Rat - 2023;8;7;2023;1349
164;Surly Straggler 650b - 2023;8;7;2023;1549
165;Trek 1120 - 2023;9;7;2023;2500
166;Trek Domane AL 2 Women's - 2023;9;7;2023;750
167;Surly ECR Frameset - 2023;8;7;2023;750
168;Surly Straggler - 2023;8;7;2023;1549
169;Trek Emonda SLR 8 - 2023;9;7;2023;6500
170;Trek CrossRip 2 - 2023;9;7;2023;1300
171;Trek Domane SL 6 - 2023;9;7;2023;3200
172;Trek Domane ALR Disc Frameset - 2023;9;7;2023;3200
173;Trek Domane ALR Frameset - 2023;9;7;2023;3200
174;Trek Domane SLR Disc Frameset - 2023;9;7;2023;3200
175;Trek Domane SLR Frameset - 2023;9;7;2023;3200
176;Trek Madone 9 Frameset - 2023;9;7;2023;3200
177;Trek Domane SLR 6 Disc - 2023;9;7;2023;5500
178;Trek Domane AL 2 - 2023;9;7;2023;750
179;Trek Domane AL 3 - 2023;9;7;2023;920
180;Trek Domane AL 3 Women's - 2023;9;7;2023;920
181;Trek Domane SL 5 - 2023;9;7;2023;2200
182;Trek Domane SL 5 Disc - 2023;9;7;2023;2500
183;Trek Domane SL 5 Women's - 2023;9;7;2023;2200
184;Trek Domane SL 6 Disc - 2023;9;7;2023;3500
185;Trek Conduit+ - 2023;9;5;2023;2800
186;Trek CrossRip+ - 2023;9;5;2023;4500
187;Trek Neko+ - 2023;9;5;2023;2800
188;Trek XM700+ Lowstep - 2023;9;5;2023;3500
189;Trek Lift+ Lowstep - 2023;9;5;2023;2800
190;Trek Dual Sport+ - 2023;9;5;2023;2800
191;Electra Loft Go! 8i - 2023;1;5;2023;2800
192;Electra Townie Go! 8i - 2022/2023;1;5;2023;2600
193;Trek Lift+ - 2023;9;5;2023;2800
194;Trek XM700+ - 2023;9;5;2023;3500
195;Electra Townie Go! 8i Ladies' - 2023;1;5;2023;2600
196;Trek Verve+ - 2023;9;5;2023;2300
197;Trek Verve+ Lowstep - 2023;9;5;2023;2300
198;Electra Townie Commute Go! - 2023;1;5;2023;3000
199;Electra Townie Commute Go! Ladies' - 2023;1;5;2023;3000
200;Trek Powerfly 5 - 2023;9;5;2023;3500
201;Trek Powerfly 5 FS - 2023;9;5;2023;4500
202;Trek Powerfly 5 Women's - 2023;9;5;2023;3500
203;Trek Powerfly 7 FS - 2023;9;5;2023;5000
204;Trek Super Commuter+ 7 - 2023;9;5;2023;3600
205;Trek Super Commuter+ 8S - 2023;9;5;2023;5000
206;Trek Boone 5 Disc - 2023;9;4;2023;3300
207;Trek Boone 7 Disc - 2023;9;4;2023;4000
208;Trek Crockett 5 Disc - 2023;9;4;2023;1800
